Year|Paper ID|Research Object|Evaluation Methods
2016|Cavalcante2016|Architecture Description Language|Case Study
2019|Yasaweerasinghelage2019|Architecture Optimization Method|Case Study
2019|Castellanos2019|Architecture Evolution|Questionnaire
2020|Cruz2020|Architecture Analysis Method|Case Study
2018|Alkhabbas2018|Architecture Description|Case Study,Experiment 
2020|Capilla2020|Teaching|Experiment
2019|Ntentos2019|Architecture pattern|Grounded Theory
2017|Yang2017|Architectural Assumptions|Case Study
2020|Dias2020|Architecture Description Language|Benchmark,Motivating Example
2017|Camara2017|Architecture Analysis Method|Experiment
2020|Moghaddam2020|Architecture Optimization Method|Case Study
2019|Pigazzini2019a|Architecture Analysis Method|Case Study
2018|Heijenk2018|Architecture Decision Making|Interview,Literature Review
2020|Malakuti2020|Technical Dept|Case Study
2016|Mesli-Kesraoui2016|Architecture Analysis Method|Case Study,Interview
2018|Arcaini2018|Architecture Analysis Method|Motivating Example
2018|Antonino2018|Architecture Design Method|Motivating Example
2018|Buchgeher2018|Architecture Extraction|Case Study
2020|Sanctis2020|Reference Architecture|Experiment 
2019|Sanctis2019|Architecture Design Method|Case Study
2018|Tuma2018|Architecture Analysis Method|User Study
2018|Christensen2018|Teaching|Case Study,Questionnaire
2017|Bhat2017|Architecture Analysis Method|Case Study
2019|Musil2019|Architecture Analysis Method|Case Study
2019|Malakuti2019|Architecture pattern|Argumentation
2019|Wu2018|Architecture Evolution|Case Study
2019|Power2019|Architecture Design Method|Questionnaire
2016|Schmerl2016|Architecture Description|Benchmark,Motivating Example
2020|Werle2020|Architecture Design Method|Case Study
2020|Verdecchia2020|Architecture Evolution|By construction
2017|Digkas2017|Architecture Evolution|Benchmark,Mining Software Repositories
2020|Ntentos2020|Architecture Analysis Method|Argumentation,Grounded Theory,Mining Software Repositories
2016|Schriek2016|Architecture Optimization Method|User Study
2016|Schroeder2016|Architecture Design Method|Interview
2020|Aerts2020|Teaching|Questionnaire
2018|Martini2018|Architectural Aspects|Case Study,Questionnaire
2020|Caporuscio2020a|Architecture Description|Experiment
2016|Agrawal2016|Architecture pattern|Motivating Example
2016|Gerostathopoulos2016|Architecture Optimization Method|Experiment
2017|Haselboeck2017|Architecture Decision Making|Case Study,Literature Review
2018|Oquendo2018|Architecture Description Language|Field Experiment
2016|Alshara2016|Architecture Analysis Method|Motivating Example
2020|Caporuscio2020b|Architecture Design Method|Case Study
2020|Chondamrongkul2020|Architecture Description Language|Benchmark
2019|Soezer2019|Architectural Aspects|Case Study
2020|Verdecchia2020|Technical Dept|Grounded Theory
2020|Almeida2020|Architecture Optimization Method|Case Study
2018|Spray2018|Reference Architecture|Case Study,Verification
2016|Kapto2016|Architecture Analysis Method|Case Study
2017|Sharaf2017|Architecture Design Method|Case Study
2018|Schneider2018|Architecture Evolution|Case Study
2018|Buchgeher2018|Architecture Analysis Method|Case Study
2019|Pigazzini2019a|Architecture Evolution|Argumentation
2017|Zalewski2017|Architecture Decision Making|Questionnaire
2019|Mattos2019|Architecture Optimization Method|Field Experiment
2019|Waegemann2019|Architecture Optimization Method|Case Study
2018|Power2018|Architecture Design Method|Focus Group,Questionnaire
2020|Almeida2020|Architecture Evolution|Case Study
2020|Giaimo2020|Quality Evolution|Case Study
2019|Castellanos2019|Architecture Design Method|Questionnaire
2019|Waegemann2019|Architecture Design Method|Case Study
2018|Weyns2018|Architecture Analysis Method|Case Study
2019|Nunes2019|Architectural Aspects|Case Study
2019|Malki2019|Architecture Decision Making|Grounded Theory
2017|Filho2017|Architecture Description Language|Case Study,Interview
2020|Matias2020|Architecture Design Method|Case Study,Questionnaire
2018|Arcaini2018|Architecture Description Language|Motivating Example
2018|Avritzer2018|Architecture Analysis Method|Case Study
2016|Agrawal2016|Architecture Optimization Method|Motivating Example
2020|Koziolek2020|Architecture Design Method|Experiment
2016|Oquendo2016|Architecture Description Language|Field Experiment
2020|Islam2020|Reference Architecture|Motivating Example
2019|Mayrhofer2019|Reference architecture|Argumentation
2016|Abukwaik2016|Architecture Analysis Method|Experiment
2017|Nguyen2017|Architecture Analysis Method|Motivating Example
